# snapshot 2026-07-18T1423 sha=1af4265 base=http://127.0.0.1:4630
# full-page via CDP Page.captureScreenshot captureBeyondViewport (viewport 900px)
name	url	width	file	bytes	dimensions
home	/	1440	home@1440.png	62785	1440x1084
home	/	390	home@390.png	53941	390x1134
thoughts	/thoughts	1440	thoughts@1440.png	40120	1440x900
thoughts	/thoughts	390	thoughts@390.png	34691	390x900
pesky-code	/thoughts/pesky-code	1440	pesky-code@1440.png	48948	1440x900
pesky-code	/thoughts/pesky-code	390	pesky-code@390.png	47028	390x900
planes-empty	/thoughts/how-bad-are-planes	1440	planes-empty@1440.png	19397	1440x900
planes-empty	/thoughts/how-bad-are-planes	390	planes-empty@390.png	15676	390x900
planes-jfk-lhr	/thoughts/how-bad-are-planes?from=JFK&to=LHR	1440	planes-jfk-lhr@1440.png	19397	1440x900
planes-jfk-lhr	/thoughts/how-bad-are-planes?from=JFK&to=LHR	390	planes-jfk-lhr@390.png	15676	390x900
planes-compare	/thoughts/how-bad-are-planes?from=JFK&to=LHR&view=compare	1440	planes-compare@1440.png	19397	1440x900
planes-compare	/thoughts/how-bad-are-planes?from=JFK&to=LHR&view=compare	390	planes-compare@390.png	15676	390x900
experience	/experience	1440	experience@1440.png	98238	1440x1389
experience	/experience	390	experience@390.png	90320	390x1695
