# snapshot 2026-07-19T0014 sha=ff8a86c label=off-the-clock base=http://127.0.0.1:4630
# full-page via CDP Page.captureScreenshot captureBeyondViewport (viewport 900px)
name	url	width	file	bytes	dimensions
home	/	1440	home@1440.png	51001	1440x900
home	/	390	home@390.png	43505	390x900
thoughts	/thoughts	1440	thoughts@1440.png	41367	1440x900
thoughts	/thoughts	390	thoughts@390.png	36120	390x900
pesky-code	/thoughts/pesky-code	1440	pesky-code@1440.png	50141	1440x900
pesky-code	/thoughts/pesky-code	390	pesky-code@390.png	48438	390x900
planes-empty	/thoughts/how-bad-are-planes	1440	planes-empty@1440.png	59685	1440x900
planes-empty	/thoughts/how-bad-are-planes	390	planes-empty@390.png	55172	390x973
planes-jfk-lhr	/thoughts/how-bad-are-planes?from=JFK&to=LHR	1440	planes-jfk-lhr@1440.png	1192625	1440x7656
planes-jfk-lhr	/thoughts/how-bad-are-planes?from=JFK&to=LHR	390	planes-jfk-lhr@390.png	1111490	403x13541
planes-compare	/thoughts/how-bad-are-planes?from=JFK&to=LHR&view=compare	1440	planes-compare@1440.png	1025068	1440x6656
planes-compare	/thoughts/how-bad-are-planes?from=JFK&to=LHR&view=compare	390	planes-compare@390.png	966872	390x11969
resume	/resume	1440	resume@1440.png	305326	1440x2657
resume	/resume	390	resume@390.png	286461	390x3842
resume-filtered-rust	/resume?tech=Rust	1440	resume-filtered-rust@1440.png	163116	1440x1456
resume-filtered-rust	/resume?tech=Rust	390	resume-filtered-rust@390.png	152950	390x2202
off-the-clock	/off-the-clock	1440	off-the-clock@1440.png	124815	1440x1321
off-the-clock	/off-the-clock	390	off-the-clock@390.png	110786	390x1689
interest-drums	/off-the-clock/drums	1440	interest-drums@1440.png	127652	1440x900
interest-drums	/off-the-clock/drums	390	interest-drums@390.png	117948	390x1109
not-found	/thouhgts	1440	not-found@1440.png	61056	1440x900
not-found	/thouhgts	390	not-found@390.png	42640	390x900
