# snapshot 2026-07-19T0038 sha=991d663 label=interests base=http://127.0.0.1:4630
# full-page via CDP Page.captureScreenshot captureBeyondViewport (viewport 900px)
name	url	width	file	bytes	dimensions
home	/	1440	home@1440.png	50507	1440x900
home	/	390	home@390.png	42847	390x900
thoughts	/thoughts	1440	thoughts@1440.png	40881	1440x900
thoughts	/thoughts	390	thoughts@390.png	35452	390x900
pesky-code	/thoughts/pesky-code	1440	pesky-code@1440.png	49708	1440x900
pesky-code	/thoughts/pesky-code	390	pesky-code@390.png	47783	390x900
planes-empty	/thoughts/how-bad-are-planes	1440	planes-empty@1440.png	59171	1440x900
planes-empty	/thoughts/how-bad-are-planes	390	planes-empty@390.png	54572	390x973
planes-jfk-lhr	/thoughts/how-bad-are-planes?from=JFK&to=LHR	1440	planes-jfk-lhr@1440.png	1192147	1440x7656
planes-jfk-lhr	/thoughts/how-bad-are-planes?from=JFK&to=LHR	390	planes-jfk-lhr@390.png	1110854	403x13541
planes-compare	/thoughts/how-bad-are-planes?from=JFK&to=LHR&view=compare	1440	planes-compare@1440.png	1024597	1440x6656
planes-compare	/thoughts/how-bad-are-planes?from=JFK&to=LHR&view=compare	390	planes-compare@390.png	966231	390x11969
resume	/resume	1440	resume@1440.png	304838	1440x2657
resume	/resume	390	resume@390.png	285808	390x3842
resume-filtered-rust	/resume?tech=Rust	1440	resume-filtered-rust@1440.png	162622	1440x1456
resume-filtered-rust	/resume?tech=Rust	390	resume-filtered-rust@390.png	152307	390x2202
interests	/interests	1440	interests@1440.png	122416	1440x1321
interests	/interests	390	interests@390.png	108499	390x1689
interest-drums	/interests/drums	1440	interest-drums@1440.png	126225	1440x900
interest-drums	/interests/drums	390	interest-drums@390.png	116422	390x1109
interest-swing	/interests/swing	1440	interest-swing@1440.png	63180	1440x900
interest-swing	/interests/swing	390	interest-swing@390.png	54154	390x900
interest-lifting	/interests/lifting	1440	interest-lifting@1440.png	41075	1440x900
interest-lifting	/interests/lifting	390	interest-lifting@390.png	34688	390x900
interest-keys	/interests/keys	1440	interest-keys@1440.png	118256	1440x900
interest-keys	/interests/keys	390	interest-keys@390.png	105099	390x1068
interest-spire	/interests/spire	1440	interest-spire@1440.png	51947	1440x900
interest-spire	/interests/spire	390	interest-spire@390.png	46088	390x900
interest-models	/interests/models	1440	interest-models@1440.png	116551	1440x900
interest-models	/interests/models	390	interest-models@390.png	107643	390x1044
interest-puzzles	/interests/puzzles	1440	interest-puzzles@1440.png	47073	1440x900
interest-puzzles	/interests/puzzles	390	interest-puzzles@390.png	41254	390x900
interest-felix	/interests/felix	1440	interest-felix@1440.png	49695	1440x900
interest-felix	/interests/felix	390	interest-felix@390.png	42335	390x900
not-found	/thouhgts	1440	not-found@1440.png	55556	1440x900
not-found	/thouhgts	390	not-found@390.png	40656	390x900
