# snapshot 2026-07-19T0522 sha=95d2998 label=logbook base=http://127.0.0.1:4630
# full-page via CDP Page.captureScreenshot captureBeyondViewport (viewport 900px)
name	url	width	file	bytes	dimensions
home	/	1440	home@1440.png	157918	1440x1411
home	/	390	home@390.png	145171	390x2003
thoughts	/thoughts	1440	thoughts@1440.png	42507	1440x900
thoughts	/thoughts	390	thoughts@390.png	36810	390x900
resume	/resume	1440	resume@1440.png	306738	1440x2657
resume	/resume	390	resume@390.png	287552	390x3838
interests	/interests	1440	interests@1440.png	124357	1440x1321
interests	/interests	390	interests@390.png	110254	390x1685
thoughts-how-bad-are-planes	/thoughts/how-bad-are-planes	1440	thoughts-how-bad-are-planes@1440.png	60765	1440x900
thoughts-how-bad-are-planes	/thoughts/how-bad-are-planes	390	thoughts-how-bad-are-planes@390.png	55899	390x969
thoughts-pesky-code	/thoughts/pesky-code	1440	thoughts-pesky-code@1440.png	51356	1440x900
thoughts-pesky-code	/thoughts/pesky-code	390	thoughts-pesky-code@390.png	49101	390x900
interests-drums	/interests/drums	1440	interests-drums@1440.png	128220	1440x900
interests-drums	/interests/drums	390	interests-drums@390.png	118152	390x1105
interests-swing	/interests/swing	1440	interests-swing@1440.png	65242	1440x900
interests-swing	/interests/swing	390	interests-swing@390.png	55923	390x900
interests-lifting	/interests/lifting	1440	interests-lifting@1440.png	43150	1440x900
interests-lifting	/interests/lifting	390	interests-lifting@390.png	36505	390x900
interests-keys	/interests/keys	1440	interests-keys@1440.png	120309	1440x900
interests-keys	/interests/keys	390	interests-keys@390.png	106898	390x1064
interests-spire	/interests/spire	1440	interests-spire@1440.png	54033	1440x900
interests-spire	/interests/spire	390	interests-spire@390.png	47862	390x900
interests-models	/interests/models	1440	interests-models@1440.png	118566	1440x900
interests-models	/interests/models	390	interests-models@390.png	109422	390x1040
interests-puzzles	/interests/puzzles	1440	interests-puzzles@1440.png	49141	1440x900
interests-puzzles	/interests/puzzles	390	interests-puzzles@390.png	43061	390x900
interests-felix	/interests/felix	1440	interests-felix@1440.png	51773	1440x900
interests-felix	/interests/felix	390	interests-felix@390.png	44120	390x900
planes-jfk-lhr	/thoughts/how-bad-are-planes?from=JFK&to=LHR	1440	planes-jfk-lhr@1440.png	1193757	1440x7656
planes-jfk-lhr	/thoughts/how-bad-are-planes?from=JFK&to=LHR	390	planes-jfk-lhr@390.png	1112029	402x13537
planes-compare	/thoughts/how-bad-are-planes?from=JFK&to=LHR&view=compare	1440	planes-compare@1440.png	1026115	1440x6656
planes-compare	/thoughts/how-bad-are-planes?from=JFK&to=LHR&view=compare	390	planes-compare@390.png	967616	390x11965
resume-filtered-rust	/resume?tech=Rust	1440	resume-filtered-rust@1440.png	164531	1440x1456
resume-filtered-rust	/resume?tech=Rust	390	resume-filtered-rust@390.png	154054	390x2198
not-found	/thouhgts	1440	not-found@1440.png	57024	1440x900
not-found	/thouhgts	390	not-found@390.png	42472	390x900
